format,tensor,tensor_type,shape,n,mae,median_abs_error,max_abs_error,rmse,relative_error_mean,relative_error_median,relative_error_max,relative_threshold,bound_valid_weights,bound_pass_count,bound_pass_percent,bound_ratio_mean,bound_ratio_median,bound_ratio_max
F16,decoder.token_embedding.weight,F16,512x51865,26554880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.mlp.0.weight,F16,512x2048,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.mlp.2.weight,F16,2048x512,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.cross_attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.cross_attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.cross_attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.0.cross_attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.mlp.0.weight,F16,512x2048,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.mlp.2.weight,F16,2048x512,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.cross_attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.cross_attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.cross_attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.1.cross_attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.mlp.0.weight,F16,512x2048,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.mlp.2.weight,F16,2048x512,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.cross_attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.cross_attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.cross_attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.2.cross_attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.mlp.0.weight,F16,512x2048,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.mlp.2.weight,F16,2048x512,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.cross_attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.cross_attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.cross_attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.3.cross_attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.mlp.0.weight,F16,512x2048,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.mlp.2.weight,F16,2048x512,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.cross_attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.cross_attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.cross_attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.4.cross_attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.mlp.0.weight,F16,512x2048,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.mlp.2.weight,F16,2048x512,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.cross_attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.cross_attn.key.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.cross_attn.value.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,decoder.blocks.5.cross_attn.out.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,encoder.conv1.weight,F16,3x80x512,122880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,encoder.conv2.weight,F16,3x512x512,786432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,encoder.blocks.0.mlp.0.weight,F16,512x2048,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,encoder.blocks.0.mlp.2.weight,F16,2048x512,1048576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
F16,encoder.blocks.0.attn.query.weight,F16,512x512,262144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0,0,nan,nan,nan,nan
