model,model_path,repetition,audio,audio_seconds,inference_seconds,rtf,word_errors,reference_words,wer,char_errors,reference_characters,cer,reference_en,hypothesis_en
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio01(dolor toracico).wav",19.690666667,1.027493917,0.052181774,5,41,0.121951220,17,228,0.074561404,"The patient reports severe chest pain that started about thirty minutes ago. The pain becomes stronger when he takes a deep breath, and he also feels short of breath. He has no known allergies and has not taken any medication today.","The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio02(alergia).wav",16.768000000,0.855046125,0.050992732,3,37,0.081081081,3,230,0.013043478,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severe skin rash after taking penicillin several years ago. She currently has a fever, a sore throat, and difficulty swallowing.","The patient is allergic to penicillin and should not receive any medication containing it. She developed a severed skin rash after taking penicillin several years ago. She currently has a fever, a sore throat and difficulty is wallowing."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio03(accidente).wav",16.597333333,0.784984875,0.047295843,2,38,0.052631579,3,205,0.014634146,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels severe pain near the wrist. There is visible swelling, but there is no active bleeding.","The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels several pain near the waist. There is visible swelling, but there is no active bleeding."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio04(dolor abdominal).wav",20.778666667,0.769471042,0.037031781,1,37,0.027027027,1,212,0.004716981,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and loss of appetite, but she has not vomited.","The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and lost of appetite, but she has not vomited."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio05(diabetes).wav",21.866666667,0.780944292,0.035713916,6,43,0.139534884,17,245,0.069387755,"The patient has type two diabetes and normally takes medication every morning. Today he forgot to take his medicine and began feeling dizzy and weak during the afternoon. He is conscious and able to speak, but he says his condition is getting worse.","The patient has type 2 diabetes and normally takes medication every morning. Today he is far good to take his medicine and began feeling this and weak during the afternoon. He is conscious and able to speak, but he said his condition is getting worse."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio06(fiebre).wav",21.248000000,0.776634250,0.036550934,5,38,0.131578947,13,220,0.059090909,"The patient has had a high fever since last night and has been feeling extremely tired. She also reports muscle pain, chills, and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","The patient has had a high fever signs last night and has been feeling extremely tired. She has a reports musical pain, shields and a persistent headache. She has been drinking water regularly and has not taken any antibiotics."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio07(respiracion).wav",22.656000000,0.825098167,0.036418528,3,40,0.075000000,6,235,0.025531915,"The patient has difficulty breathing when walking short distances and sometimes feels pressure in his chest. These symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.","The patient has difficulty breathing when walking short distance and sometimes feels pressure in his sheath. Test symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio08(herida).wav",22.613333333,0.879059084,0.038873485,3,43,0.069767442,11,256,0.042968750,"The patient cut her right hand while preparing food approximately forty minutes ago. The wound is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","The patient could her right hand while preparing food approximately 40 minutes ago. The woman is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio09(mareo).wav",23.957333333,0.871276291,0.036367833,8,41,0.195121951,21,235,0.089361702,"The patient suddenly became dizzy while standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and says that similar symptoms happened once last month.","The patient suddenly become disequiled standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and said that similar symptoms have been made on last month."
"F32","/Users/williamsacc/Documents/estudio_casos_asr/whisper.cpp/models/ggml-base-f32.bin",1,"audio10(dolor cabeza).wav",26.112000000,0.875494041,0.033528418,4,44,0.090909091,11,258,0.042635659,"The patient has experienced a strong headache for approximately three hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright lights. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.","The patient has experienced a strong heat dutch for approximately 3 hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright light. She also feels slightly nauseous but has no problems speaking or moving her arms and legs."
