llm_model,llm_quantization,condition,asr_model,audio,chrf,input_en,reference_es,hypothesis_es,total_duration_s,load_duration_s,prompt_eval_duration_s,eval_duration_s,prompt_eval_count,eval_count
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio01(dolor toracico).wav,78.71545090401358,"The patient reports severe chest pain that started about thirty minutes ago. The pain becomes stronger when he takes a deep breath, and he also feels short of breath. He has no known allergies and has not taken any medication today.",El paciente reporta dolor de pecho severo que comenzó hace unos treinta minutos. El dolor se hace más fuerte cuando respira profundo y también siente falta de aire. No tiene alergias conocidas y no ha tomado ningún medicamento hoy.,El paciente informa de dolor torácico severo que comenzó hace aproximadamente 30 minutos. El dolor se vuelve más fuerte al tomar una respiración profunda y también siente falta de aire. No tiene alergias conocidas y no ha tomado ningún medicamento hoy.,1.67639625,0.4466595,0.152154,1.075474,131,52
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio02(alergia).wav,97.0484370902509,"The patient is allergic to penicillin and should not receive any medication containing it. She developed a severe skin rash after taking penicillin several years ago. She currently has a fever, a sore throat, and difficulty swallowing.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que la contenga. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad para tragar.","La paciente es alérgica a la penicilina y no debe recibir ningún medicamento que contenga penicilina. Desarrolló una erupción cutánea severa después de tomar penicilina hace varios años. Actualmente tiene fiebre, dolor de garganta y dificultad para tragar.",2.322848792,0.370099958,0.149883,1.771489,128,60
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio03(accidente).wav,83.2411389979613,"The patient fell from a bicycle approximately one hour ago and injured his left arm. He can move his fingers, but he feels severe pain near the wrist. There is visible swelling, but there is no active bleeding.","El paciente se cayó de una bicicleta hace aproximadamente una hora y se lesionó el brazo izquierdo. Puede mover los dedos, pero siente un dolor severo cerca de la muñeca. Hay hinchazón visible, pero no hay sangrado activo.","El paciente cayó de una bicicleta aproximadamente una hora antes y se lastimó el brazo izquierdo. Puede mover sus dedos, pero siente dolor severo cerca del codo. Hay hinchazón visible, pero no hay sangrado activo.",1.684834625,0.423569666,0.198006,1.058069,129,47
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio04(dolor abdominal).wav,76.42126410480732,"The patient has had abdominal pain since yesterday evening. The pain is mainly located on the lower right side and has gradually become stronger. She also reports nausea and loss of appetite, but she has not vomited.","La paciente ha tenido dolor abdominal desde ayer por la tarde. El dolor se localiza principalmente en el lado inferior derecho y se ha vuelto gradualmente más fuerte. También reporta náuseas y pérdida de apetito, pero no ha vomitado.","El paciente presenta dolor abdominal desde anoche. El dolor se localiza principalmente en el lado inferior derecho y ha ido aumentando gradualmente. También informa de náuseas y pérdida de apetito, pero no ha vomitado.",1.659376375,0.493369334,0.16783,0.994521,128,46
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio05(diabetes).wav,83.54094139691122,"The patient has type two diabetes and normally takes medication every morning. Today he forgot to take his medicine and began feeling dizzy and weak during the afternoon. He is conscious and able to speak, but he says his condition is getting worse.","El paciente tiene diabetes tipo dos y normalmente toma medicamentos todas las mañanas. Hoy olvidó tomar su medicina y comenzó a sentirse mareado y débil durante la tarde. Está consciente y puede hablar, pero dice que su condición está empeorando.","El paciente tiene diabetes tipo 2 y toma medicación todos los días. Hoy olvidó tomar su medicación y comenzó a sentirse mareado y débil durante la tarde. Está consciente y puede hablar, pero dice que su condición está empeorando.",2.675461084,0.396925209,0.243049,2.03069,133,51
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio06(fiebre).wav,73.06950921145773,"The patient has had a high fever since last night and has been feeling extremely tired. She also reports muscle pain, chills, and a persistent headache. She has been drinking water regularly and has not taken any antibiotics.","La paciente ha tenido fiebre alta desde anoche y se ha sentido extremadamente cansada. También reporta dolor muscular, escalofríos y un dolor de cabeza persistente. Ha estado bebiendo agua regularmente y no ha tomado ningún antibiótico.","El paciente tiene fiebre alta desde anoche y se siente extremadamente cansado. También informa dolor muscular, calambres y dolor de cabeza persistente. Bebe agua regularmente y no ha tomado ningún antibiótico.",2.698932042,0.406830208,0.240061,2.046744,129,44
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio07(respiracion).wav,96.06229338969798,The patient has difficulty breathing when walking short distances and sometimes feels pressure in his chest. These symptoms began two days ago and have gradually become worse. He has a history of asthma but has not used his inhaler today.,"El paciente tiene dificultad para respirar al caminar distancias cortas y a veces siente presión en el pecho. Estos síntomas comenzaron hace dos días y han empeorado gradualmente. Tiene antecedentes de asma, pero no ha usado su inhalador hoy.","El paciente tiene dificultad para respirar al caminar distancias cortas y a veces siente presión en el pecho. Estos síntomas comenzaron hace dos días y han ido empeorando gradualmente. Tiene antecedentes de asma, pero no ha utilizado su inhalador hoy.",1.907928333,0.398915916,0.149228,1.353407,130,53
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio08(herida).wav,75.28633204683882,"The patient cut her right hand while preparing food approximately forty minutes ago. The wound is still bleeding slightly, but she can move all of her fingers normally. She reports moderate pain and does not remember when she received her last tetanus vaccine.","La paciente se cortó la mano derecha mientras preparaba comida hace aproximadamente cuarenta minutos. La herida aún sangra levemente, pero puede mover todos sus dedos con normalidad. Reporta dolor moderado y no recuerda cuándo recibió su última vacuna contra el tétanos.","La paciente se cortó la mano derecha aproximadamente cuarenta minutos hace poco. La herida sigue sangrando ligeramente, pero puede mover todas sus dedos normalmente. Informa dolor moderado y no recuerda cuándo recibió su última vacuna contra la tetanus.",1.688387333,0.42441175,0.178549,1.081881,133,49
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio09(mareo).wav,77.16275864229526,"The patient suddenly became dizzy while standing at work this morning. He did not lose consciousness, but he felt weak and had to sit down immediately. He has eaten very little today and says that similar symptoms happened once last month.","El paciente se mareó repentinamente mientras estaba de pie en el trabajo esta mañana. No perdió el conocimiento, pero se sintió débil y tuvo que sentarse de inmediato. Ha comido muy poco hoy y dice que síntomas similares le ocurrieron una vez el mes pasado.","El paciente se volvió mareado repentinamente mientras estaba en el trabajo esta mañana. No perdió la conciencia, pero sintió debilidad y tuvo que sentarse inmediatamente. Hoy ha comido muy poco y dice que síntomas similares ocurrieron el mes pasado.",1.723459458,0.407163292,0.153153,1.160026,131,52
gemma3:1b-it-q8_0,Q8_0,llm_only,REFERENCE,audio10(dolor cabeza).wav,83.43100446912482,The patient has experienced a strong headache for approximately three hours. The pain is mainly located behind her eyes and becomes worse when she looks at bright lights. She also feels slightly nauseous but has no problems speaking or moving her arms and legs.,"La paciente ha experimentado un fuerte dolor de cabeza durante aproximadamente tres horas. El dolor se localiza principalmente detrás de sus ojos y empeora cuando mira luces brillantes. También siente un poco de náuseas, pero no tiene problemas para hablar o mover los brazos y las piernas.","El paciente ha experimentado un dolor de cabeza fuerte de aproximadamente tres horas. El dolor está principalmente localizado detrás de sus ojos y empeora al mirar luces brillantes. También siente un leve náusea, pero no tiene problemas para hablar o mover sus brazos y piernas.",1.768216542,0.390745667,0.180323,1.191879,134,53
